page_index,section_id,section_type,text_ids,image_ids,reasoning
10,0,activity_other,"text-10-0,text-10-1,text-10-2,text-10-3,text-10-4,text-10-5,text-10-6,text-10-7,text-10-8,text-10-9,text-10-10,text-10-11",img-10-1,The page contains an activity where students are asked to draw or paste a picture of a friend and fill in information about them. This is followed by a writing activity where they use the gathered information to write a description.
10,1,activity_open_ended_answer,text-10-12,,The page contains an activity where students are asked to draw or paste a picture of a friend and fill in information about them. This is followed by a writing activity where they use the gathered information to write a description.
14,0,text_only,"text-14-0,text-14-1,text-14-2,text-14-3",,"The page contains two main sections: one discussing environmental issues and sustainable development, and the other describing biomes, specifically rainforests. The text is divided into logical sections based on these topics, with images supporting the rainforest section."
14,1,text_and_images,"text-14-4,text-14-5,text-14-6,text-14-7,text-14-8,text-14-9,text-14-10,text-14-11,text-14-12,text-14-13,text-14-14,text-14-15","img-14-1,img-14-2","The page contains two main sections: one discussing environmental issues and sustainable development, and the other describing biomes, specifically rainforests. The text is divided into logical sections based on these topics, with images supporting the rainforest section."
20,0,activity_fill_in_a_table,"text-20-0,text-20-1,text-20-2,text-20-3,text-20-4,text-20-5,text-20-6,text-20-7,text-20-8,text-20-9,text-20-10,text-20-11,text-20-12,text-20-13",,The page contains two main activities: filling in a table about biomes and completing a diagram about factors characterizing biomes. Each activity is distinct and involves different sets of instructions and content.
20,1,activity_fill_in_a_table,"text-20-14,text-20-15,text-20-31,text-20-32,text-20-33",,The page contains two main activities: filling in a table about biomes and completing a diagram about factors characterizing biomes. Each activity is distinct and involves different sets of instructions and content.
16,0,activity_fill_in_a_table,"text-16-0,text-16-1,text-16-2,text-16-3,text-16-4,text-16-5,text-16-6,text-16-7,text-16-8,text-16-9",,"The page contains a mix of activities and informational text. The first part is an activity to complete a diagram with titles and subtitles, followed by a conclusion activity. The second part provides informational text about biomes, which is a reading section. The final part is another activity related to summarizing and completing information."
16,1,activity_open_ended_answer,"text-16-10,text-16-11",,"The page contains a mix of activities and informational text. The first part is an activity to complete a diagram with titles and subtitles, followed by a conclusion activity. The second part provides informational text about biomes, which is a reading section. The final part is another activity related to summarizing and completing information."
16,2,text_only,"text-16-12,text-16-13,text-16-14,text-16-15,text-16-16",,"The page contains a mix of activities and informational text. The first part is an activity to complete a diagram with titles and subtitles, followed by a conclusion activity. The second part provides informational text about biomes, which is a reading section. The final part is another activity related to summarizing and completing information."
16,3,activity_open_ended_answer,"text-16-17,text-16-18,text-16-19,text-16-20",,"The page contains a mix of activities and informational text. The first part is an activity to complete a diagram with titles and subtitles, followed by a conclusion activity. The second part provides informational text about biomes, which is a reading section. The final part is another activity related to summarizing and completing information."
12,0,text_and_images,"text-12-0,text-12-1,text-12-2,text-12-3,text-12-4,text-12-5,text-12-6,text-12-7,text-12-8","img-12-1,img-12-2,img-12-3,img-12-4,img-12-5,img-12-6,img-12-7,img-12-8,img-12-9","The page contains a thematic explanation about different biomes, with images and questions related to the topic. The text and images are grouped to provide a comprehensive understanding of the subject."
12,1,activity_open_ended_answer,text-12-9,,"The page contains a thematic explanation about different biomes, with images and questions related to the topic. The text and images are grouped to provide a comprehensive understanding of the subject."
12,2,activity_open_ended_answer,text-12-10,,"The page contains a thematic explanation about different biomes, with images and questions related to the topic. The text and images are grouped to provide a comprehensive understanding of the subject."
12,3,activity_open_ended_answer,text-12-11,,"The page contains a thematic explanation about different biomes, with images and questions related to the topic. The text and images are grouped to provide a comprehensive understanding of the subject."
12,4,activity_open_ended_answer,text-12-12,,"The page contains a thematic explanation about different biomes, with images and questions related to the topic. The text and images are grouped to provide a comprehensive understanding of the subject."
19,0,activity_other,"text-19-0,text-19-3,text-19-4,text-19-5,text-19-6,text-19-7,text-19-8,text-19-9",img-19-2,"The page contains multiple activities related to questions about biomes and comprehension. Each activity is distinct and should be sectioned separately. The images are used to provide context and engagement, so they are included in relevant sections."
19,1,activity_open_ended_answer,"text-19-10,text-19-11,text-19-12,text-19-13,text-19-14",img-19-1,"The page contains multiple activities related to questions about biomes and comprehension. Each activity is distinct and should be sectioned separately. The images are used to provide context and engagement, so they are included in relevant sections."
19,2,activity_open_ended_answer,"text-19-15,text-19-16,text-19-17,text-19-18,text-19-19",img-19-3,"The page contains multiple activities related to questions about biomes and comprehension. Each activity is distinct and should be sectioned separately. The images are used to provide context and engagement, so they are included in relevant sections."
19,3,text_only,"text-19-1,text-19-2,text-19-20,text-19-21",,"The page contains multiple activities related to questions about biomes and comprehension. Each activity is distinct and should be sectioned separately. The images are used to provide context and engagement, so they are included in relevant sections."
18,0,activity_multiselect,"text-18-0,text-18-1,text-18-2,text-18-3,text-18-4,text-18-5,text-18-6,text-18-7,text-18-8,text-18-9,text-18-10,text-18-11,text-18-12,text-18-13,text-18-14","img-18-1,img-18-2","The page contains two main activities: selecting the correct image and justifying the choice. The images and related text are grouped together for the first activity, while the justification and explanation form the second activity."
18,1,activity_labeling,"text-18-15,text-18-16,text-18-17",,"The page contains two main activities: selecting the correct image and justifying the choice. The images and related text are grouped together for the first activity, while the justification and explanation form the second activity."
18,2,activity_open_ended_answer,"text-18-18,text-18-19",,"The page contains two main activities: selecting the correct image and justifying the choice. The images and related text are grouped together for the first activity, while the justification and explanation form the second activity."
13,0,text_and_images,"text-13-0,text-13-1,text-13-2,text-13-3,text-13-4,text-13-5,text-13-6,text-13-7,text-13-8,text-13-9,text-13-10,text-13-11","img-13-1,img-13-2,img-13-3,img-13-4,img-13-5","The page contains two main sections: one about biomes and another about human impact on biomes. Each section has a title and related paragraphs. Additionally, there is a sidebar with information about biomes of the world. Images are associated with the text about biomes."
13,1,text_only,"text-13-12,text-13-13,text-13-14,text-13-15,text-13-16,text-13-17",,"The page contains two main sections: one about biomes and another about human impact on biomes. Each section has a title and related paragraphs. Additionally, there is a sidebar with information about biomes of the world. Images are associated with the text about biomes."
13,2,text_only,"text-13-18,text-13-19,text-13-20,text-13-21,text-13-22",,"The page contains two main sections: one about biomes and another about human impact on biomes. Each section has a title and related paragraphs. Additionally, there is a sidebar with information about biomes of the world. Images are associated with the text about biomes."
15,0,text_and_images,"text-15-0,text-15-1,text-15-2,text-15-3,text-15-4,text-15-5,text-15-6,text-15-7,text-15-8,text-15-9,text-15-10,text-15-11,text-15-12,text-15-13,text-15-14,text-15-15,text-15-24",img-15-1,"The page contains two main sections: one about forests (""Bosques"") and another about prairies (""Praderas""). Each section has descriptive text and relevant images. The text is divided into logical paragraphs that describe different aspects of each biome, and the images provide visual context."
15,1,text_and_images,"text-15-16,text-15-17,text-15-18,text-15-19,text-15-20,text-15-21,text-15-23",img-15-2,"The page contains two main sections: one about forests (""Bosques"") and another about prairies (""Praderas""). Each section has descriptive text and relevant images. The text is divided into logical paragraphs that describe different aspects of each biome, and the images provide visual context."
28,0,activity_fill_in_a_table,"text-28-0,text-28-1,text-28-8,text-28-9",,"The page contains multiple activities related to verb conjugation and pronouns. Each activity is distinct and involves different tasks, such as filling in blanks, matching verbs to pronouns, and identifying verb forms. The images support the activities by providing context for the dialogues."
28,1,activity_fill_in_the_blank,"text-28-10,text-28-11,text-28-12,text-28-13,text-28-14,text-28-15,text-28-16,text-28-17,text-28-18,text-28-19,text-28-20,text-28-21,text-28-22,text-28-23,text-28-24,text-28-25,text-28-26",,"The page contains multiple activities related to verb conjugation and pronouns. Each activity is distinct and involves different tasks, such as filling in blanks, matching verbs to pronouns, and identifying verb forms. The images support the activities by providing context for the dialogues."
28,2,text_only,"text-28-27,text-28-28",,"The page contains multiple activities related to verb conjugation and pronouns. Each activity is distinct and involves different tasks, such as filling in blanks, matching verbs to pronouns, and identifying verb forms. The images support the activities by providing context for the dialogues."
28,3,activity_fill_in_the_blank,"text-28-29,text-28-34,text-28-35,text-28-36",,"The page contains multiple activities related to verb conjugation and pronouns. Each activity is distinct and involves different tasks, such as filling in blanks, matching verbs to pronouns, and identifying verb forms. The images support the activities by providing context for the dialogues."
30,0,activity_other,"text-30-0,text-30-1,text-30-2,text-30-3,text-30-4,text-30-5,text-30-6,text-30-7,text-30-8,text-30-9,text-30-10,text-30-11,text-30-12",,"The page contains multiple activities: a crossword puzzle, matching words with images, and questions about word components. Each activity is distinct and should be sectioned separately. The text and images are grouped based on their relevance to each activity."
30,1,activity_open_ended_answer,"text-30-13,text-30-14,text-30-15",,"The page contains multiple activities: a crossword puzzle, matching words with images, and questions about word components. Each activity is distinct and should be sectioned separately. The text and images are grouped based on their relevance to each activity."
30,2,activity_matching,"text-30-16,text-30-17,text-30-18,text-30-19,text-30-20,text-30-21,text-30-22","img-30-3,img-30-4,img-30-5,img-30-6,img-30-7,img-30-8","The page contains multiple activities: a crossword puzzle, matching words with images, and questions about word components. Each activity is distinct and should be sectioned separately. The text and images are grouped based on their relevance to each activity."
30,3,text_only,"text-30-23,text-30-24,text-30-25,text-30-26",,"The page contains multiple activities: a crossword puzzle, matching words with images, and questions about word components. Each activity is distinct and should be sectioned separately. The text and images are grouped based on their relevance to each activity."
30,4,activity_open_ended_answer,"text-30-27,text-30-28,text-30-29",,"The page contains multiple activities: a crossword puzzle, matching words with images, and questions about word components. Each activity is distinct and should be sectioned separately. The text and images are grouped based on their relevance to each activity."
26,0,text_and_images,text-26-0,,"The page contains four distinct sections, each focusing on a different environmental figure or group. Each section includes a photo and a description of their contributions to environmental conservation. The sections are logically divided by the individuals or groups they describe."
