page_index,id,language_code_orig,type,section_id,section_type,language_code,text,status
12,text-12-0,en,section_heading,0.0,text_only,es,Lección 3: Sumar o Restar para Resolver Problemas de Historia,success
12,text-12-1,en,instruction_text,0.0,text_only,es,Resolvamos problemas de historia.,success
12,text-12-2,en,section_heading,1.0,activity_open_ended_answer,es,Calentamiento: ¿Cuántos ves? Diagrama de base diez,success
12,text-12-3,en,instruction_text,1.0,activity_open_ended_answer,es,¿Cuántos ves? ¿Cómo los ves?,success
23,text-23-0,en,activity_number,0.0,activity_open_ended_answer,es,Tyler usó ecuaciones para mostrar su pensamiento.,success
23,text-23-1,en,math,0.0,activity_open_ended_answer,es,82 - 9,success
23,text-23-2,en,math,0.0,activity_open_ended_answer,es,82 = 70 + 12,success
23,text-23-3,en,math,0.0,activity_open_ended_answer,es,12 - 9 = 3,success
23,text-23-4,en,math,0.0,activity_open_ended_answer,es,70 + 3 = 73,success
23,text-23-5,en,instruction_text,0.0,activity_open_ended_answer,es,Diego dice que el trabajo de Tyler coincide con su diagrama.,success
23,text-23-6,en,instruction_text,0.0,activity_open_ended_answer,es,Elena dice que el trabajo de Tyler coincide con su diagrama.,success
23,text-23-7,en,instruction_text,0.0,activity_open_ended_answer,es,¿Con quién estás de acuerdo? Explica.,success
25,text-25-0,en,section_heading,1.0,activity_open_ended_answer,es,7.1: ¿Cuál es la diferencia?,success
25,text-25-1,en,instruction_text,1.0,activity_open_ended_answer,es,Encuentra el valor de cada diferencia.,success
25,text-25-2,en,instruction_text,1.0,activity_open_ended_answer,es,Muestra tu pensamiento.,success
25,text-25-3,en,instruction_text,1.0,activity_open_ended_answer,es,Usa bloques si eso ayuda.,success
25,text-25-4,en,activity_number,0.0,activity_open_ended_answer,es,1.,success
25,text-25-5,en,math,0.0,activity_open_ended_answer,es,46 - 28 =,success
25,text-25-6,en,activity_input_placeholder_text,0.0,activity_open_ended_answer,es,______,success
25,text-25-7,en,activity_number,1.0,activity_open_ended_answer,es,2.,success
25,text-25-8,en,math,1.0,activity_open_ended_answer,es,93 - 54 =,success
25,text-25-9,en,activity_input_placeholder_text,1.0,activity_open_ended_answer,nan,nan,translation_error
16,text-16-0,en,chapter_title,0.0,text_only,es,Lección 4: Centro Día 1,success
16,text-16-1,en,instruction_text,0.0,text_only,es,Juguemos juegos para practicar sumas y restas.,success
