page_index,text_id,base_language_code,target_language_code,status,error
11,text-11-0,es,en,enqueued,
11,text-11-0,es,en,success,
10,text-10-0,es,en,enqueued,
10,text-10-1,es,en,enqueued,
10,text-10-2,es,en,enqueued,
12,text-12-0,es,en,enqueued,
12,text-12-1,es,en,enqueued,
12,text-12-2,es,en,enqueued,
12,text-12-3,es,en,enqueued,
12,text-12-4,es,en,enqueued,
12,text-12-5,es,en,enqueued,
10,text-10-0,es,en,success,
12,text-12-6,es,en,enqueued,
12,text-12-7,es,en,enqueued,
12,text-12-8,es,en,enqueued,
10,text-10-1,es,en,success,
10,text-10-2,es,en,success,
12,text-12-3,es,en,success,
12,text-12-2,es,en,success,
12,text-12-8,es,en,success,
12,text-12-1,es,en,success,
12,text-12-0,es,en,success,
12,text-12-4,es,en,success,
12,text-12-6,es,en,success,
12,text-12-5,es,en,success,
12,text-12-7,es,en,success,
17,text-17-0,es,en,enqueued,
17,text-17-1,es,en,enqueued,
17,text-17-2,es,en,enqueued,
17,text-17-3,es,en,enqueued,
17,text-17-4,es,en,enqueued,
17,text-17-5,es,en,enqueued,
17,text-17-6,es,en,enqueued,
17,text-17-7,es,en,enqueued,
17,text-17-8,es,en,enqueued,
17,text-17-9,es,en,enqueued,
19,text-19-0,es,en,enqueued,
18,text-18-0,es,en,enqueued,
19,text-19-1,es,en,enqueued,
18,text-18-1,es,en,enqueued,
19,text-19-2,es,en,enqueued,
18,text-18-2,es,en,enqueued,
19,text-19-3,es,en,enqueued,
18,text-18-3,es,en,enqueued,
19,text-19-4,es,en,enqueued,
18,text-18-4,es,en,enqueued,
19,text-19-5,es,en,enqueued,
18,text-18-5,es,en,enqueued,
17,text-17-2,es,en,success,
19,text-19-6,es,en,enqueued,
18,text-18-6,es,en,enqueued,
19,text-19-7,es,en,enqueued,
17,text-17-7,es,en,success,
18,text-18-7,es,en,enqueued,
19,text-19-8,es,en,enqueued,
17,text-17-5,es,en,success,
18,text-18-8,es,en,enqueued,
19,text-19-9,es,en,enqueued,
17,text-17-9,es,en,success,
19,text-19-10,es,en,enqueued,
19,text-19-11,es,en,enqueued,
19,text-19-12,es,en,enqueued,
19,text-19-13,es,en,enqueued,
19,text-19-14,es,en,enqueued,
19,text-19-15,es,en,enqueued,
19,text-19-16,es,en,enqueued,
19,text-19-17,es,en,enqueued,
19,text-19-18,es,en,enqueued,
19,text-19-19,es,en,enqueued,
17,text-17-6,es,en,success,
17,text-17-1,es,en,success,
17,text-17-4,es,en,success,
17,text-17-8,es,en,success,
17,text-17-3,es,en,success,
17,text-17-0,es,en,success,
18,text-18-0,es,en,success,
19,text-19-0,es,en,success,
19,text-19-2,es,en,success,
20,text-20-0,es,en,enqueued,
18,text-18-2,es,en,success,
20,text-20-1,es,en,enqueued,
20,text-20-2,es,en,enqueued,
